race,classtype,yearssmall,hsgrad,g4math,g4reading
1,2,0,NA,NA,NA
2,3,0,1,NA,NA
1,1,4,1,707,719
1,1,2,1,NA,NA
2,2,0,0,NA,NA
2,2,0,NA,674,571
1,3,0,NA,NA,NA
2,1,3,1,NA,NA
1,2,0,NA,NA,NA
2,1,4,1,NA,NA
1,2,0,0,NA,NA
2,1,4,1,NA,NA
1,2,0,1,696,688
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,676,652
1,2,0,1,637,691
2,2,0,NA,NA,NA
2,1,4,NA,821,778
1,1,1,NA,NA,NA
1,1,4,NA,741,742
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,NA,702,705
1,2,0,NA,767,745
2,1,4,1,821,754
1,2,0,NA,NA,NA
1,3,0,NA,706,700
1,3,0,NA,NA,NA
1,1,1,0,NA,NA
2,2,0,NA,NA,NA
1,3,0,1,711,763
2,1,3,NA,689,768
2,1,1,NA,NA,NA
1,2,2,NA,NA,NA
2,2,0,NA,NA,NA
2,2,0,1,NA,NA
1,2,0,NA,NA,NA
1,3,0,1,NA,NA
1,1,3,1,NA,NA
1,1,4,NA,732,729
1,3,0,NA,NA,NA
1,1,2,1,NA,NA
1,1,4,1,758,836
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,1,2,0,NA,NA
1,3,0,1,707,718
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,1,4,NA,725,688
2,2,0,NA,NA,NA
1,2,0,1,711,715
1,1,4,1,758,742
1,2,0,NA,NA,NA
1,3,0,1,694,732
2,1,3,0,NA,NA
2,1,4,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,1,4,1,703,729
1,3,0,1,754,710
1,2,0,NA,681,676
1,1,4,1,717,705
1,1,2,NA,NA,NA
2,2,0,0,NA,NA
2,1,1,1,NA,NA
1,3,1,NA,NA,NA
1,2,0,NA,NA,NA
1,1,1,1,NA,NA
1,2,0,1,698,778
1,1,1,NA,NA,NA
1,3,0,1,701,836
1,2,1,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,1,744,761
1,3,0,0,NA,NA
1,2,0,NA,NA,NA
1,2,0,1,708,731
1,3,0,1,NA,NA
2,2,0,1,NA,NA
2,2,0,1,NA,NA
1,3,0,1,775,836
1,1,1,1,NA,NA
1,3,0,NA,658,675
1,2,1,NA,NA,NA
1,1,1,NA,NA,NA
2,2,0,0,625,685
2,2,0,0,NA,NA
2,1,4,0,NA,NA
1,3,0,1,717,763
1,3,0,1,652,680
2,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,730,742
1,1,4,NA,718,763
1,2,0,1,NA,NA
1,2,0,0,676,680
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,NA,701,726
2,3,0,NA,706,661
1,1,4,0,NA,NA
1,3,0,1,NA,NA
1,2,0,1,726,722
1,2,0,1,679,836
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
1,3,2,1,NA,NA
2,3,0,NA,NA,NA
1,1,3,NA,694,718
1,2,0,NA,NA,NA
1,1,2,1,NA,NA
2,1,4,0,570,621
2,1,1,NA,NA,NA
1,1,4,1,710,732
2,3,0,NA,NA,NA
1,2,0,1,676,721
1,2,0,0,NA,NA
2,3,0,1,NA,NA
2,2,0,1,NA,NA
1,2,1,1,758,761
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,4,1,752,778
1,1,1,1,749,741
1,1,4,NA,710,756
1,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,1,1,723,686
1,2,0,NA,NA,NA
1,1,1,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,721,765
1,2,0,NA,666,591
2,2,0,NA,NA,NA
1,1,4,NA,741,836
1,3,0,NA,679,688
1,3,0,0,NA,NA
2,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,1,2,NA,NA,NA
2,2,0,1,758,715
1,1,4,1,715,696
1,1,4,1,704,740
1,2,3,NA,NA,NA
1,1,1,1,688,NA
1,1,1,1,NA,NA
1,1,2,NA,NA,NA
1,2,0,NA,702,716
1,3,0,NA,684,739
2,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,1,4,1,689,713
1,2,3,NA,NA,NA
2,2,0,NA,NA,NA
2,3,3,NA,634,740
1,2,0,NA,NA,NA
1,3,0,1,701,723
2,1,1,1,NA,NA
2,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,758,751
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,1,4,NA,NA,NA
1,1,1,NA,NA,NA
1,2,0,1,NA,NA
1,1,2,NA,NA,NA
1,2,0,NA,643,666
1,3,0,NA,NA,NA
1,2,0,1,NA,NA
1,3,0,1,693,754
1,2,0,1,724,741
1,1,4,1,705,726
1,3,0,1,731,781
2,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,2,0,1,NA,NA
1,2,0,1,740,750
1,1,1,1,NA,NA
1,1,4,1,771,725
2,2,0,1,NA,NA
1,2,0,1,714,761
2,2,0,NA,NA,NA
2,1,1,NA,NA,NA
1,3,0,NA,677,694
1,3,0,NA,NA,NA
1,2,0,0,NA,NA
1,3,0,1,671,702
1,2,0,1,NA,NA
1,1,4,0,724,727
1,3,0,NA,NA,NA
2,1,2,NA,NA,NA
2,1,4,1,NA,NA
1,2,0,NA,NA,NA
1,1,4,0,732,734
1,1,4,NA,541,743
1,3,0,1,742,836
1,3,0,0,NA,NA
1,3,0,1,740,714
2,1,4,1,NA,NA
2,3,0,1,NA,NA
2,2,0,1,NA,NA
1,2,2,1,NA,NA
1,1,3,1,NA,NA
1,1,4,NA,696,794
1,2,0,NA,NA,NA
2,1,2,1,NA,NA
1,1,4,NA,NA,NA
1,2,0,1,728,785
1,3,0,1,NA,NA
1,2,1,0,NA,NA
2,1,3,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,618,659
1,2,0,1,821,745
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,0,NA,NA
1,3,0,1,728,752
1,2,0,1,732,688
1,1,2,NA,NA,NA
2,2,0,0,NA,NA
1,3,0,0,NA,NA
1,3,0,1,717,717
1,1,1,NA,697,756
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,0,1,NA,NA
1,2,0,1,717,836
1,1,4,1,741,722
1,1,1,NA,NA,NA
2,1,1,NA,NA,NA
2,1,1,NA,NA,NA
1,2,0,1,NA,NA
1,1,1,NA,NA,NA
2,1,2,NA,NA,NA
1,3,0,1,726,750
2,3,0,1,722,698
1,1,4,0,640,620
1,1,4,1,697,584
1,3,0,1,729,761
1,3,1,1,714,743
1,2,0,1,710,750
2,2,0,1,NA,NA
2,1,4,0,711,750
1,3,0,NA,NA,NA
1,2,0,1,741,694
1,3,0,1,NA,NA
2,3,0,NA,NA,NA
